dataset,disease,mediator,ACME,ACME_lo,ACME_hi,ACME_p,ADE,ADE_lo,ADE_hi,ADE_p,prop_mediated
GSE152004,asthma,eosinophil_score,0.10867185566549917,0.04069772385508219,0.1760306782947432,0.002,0.012014715703253742,-0.07450347038541703,0.10627977112601167,0.762,0.9004469547275209
GSE121212,atopic_dermatitis,eosinophil_score,0.05360597272375035,-0.006333393783238212,0.17007539456517903,0.104,-0.0329826445489685,-0.30476892548541423,0.24449187376946668,0.78,2.5992881589936387
GSE136825,nasal_polyps,eosinophil_score,-0.027670884982930768,-0.08622002299817096,0.005386477986069525,0.13,0.09598518837542347,-0.06963009320643421,0.2478328382158962,0.254,-0.4050525820917852
