dataset,disease,n,raw_eos_sd,raw_eos_median,raw_eos_frac_zero,raw_eos_cv
GSE152004,asthma,695,184.85154799181524,486.5130988887104,0,0.34950758598078335
GSE121212,atopic_dermatitis,65,197.9019594758654,353.7351022134976,0,0.5189893442497918
GSE246323,eosinophilic_esophagitis,10,200.35984774416764,231.71329937387543,0,0.6438223901985219
GSE58640,eosinophilic_esophagitis,16,432.7874191356628,567.0268008968651,0,0.7410006394507799
GSE136825,nasal_polyps,70,393.9379976078117,803.1759621327694,0,0.46557560280022575
