dataset,disease,n,raw_rho,raw_p,adj_rho_marker,adj_p_marker,adj_rho_xcell,adj_p_xcell,adj_rho_xcellraw,adj_p_xcellraw,marker_xcell_concordance,marker_xcellraw_concordance,xcell_eos_frac_zero,xcell_eos_sd,xcellraw_eos_sd
GSE152004,asthma,695,0.10923860502766232,0.003935447221265462,0.04839389335331593,0.20290065764509105,0.11095099121876267,0.003426329665500959,0.07396486963430209,0.051453557061841154,0.33738386863650127,0.6247153365452326,0.4071942446043165,0.003784957691479969,184.85154799181524
GSE121212,atopic_dermatitis,65,0.06022502814195959,0.6336744522158837,-0.008389706603708776,0.9475402809863782,0.05609787453309431,0.6597308202590035,0.05752394553821986,0.6516322967966344,-0.12804720595310276,-0.16372377622377624,0.3230769230769231,0.0027690035712064705,197.9019594758654
GSE58640,eosinophilic_esophagitis,16,0.4892273145002004,0.05444935123143327,0.2859773082651016,0.301471883154098,0.29799128144914994,0.28070361003404326,0.4257262682850934,0.11361169005045048,0.9259513296030623,0.8999999999999999,0.25,0.013034863605893149,432.7874191356628
GSE136825,nasal_polyps,70,0.08515493308946175,0.4833631417155152,0.13645864588969311,0.26354898478238165,0.07311413023490569,0.5504831764766915,0.07176127010947918,0.557902276335454,0.07164495627391605,0.265245956146587,0.2,0.028322146216774948,393.9379976078117
