gene,log2FC,lfcSE,pvalue,padj,method,dataset,disease
GABPB1-AS1,-0.05149515198026614,0.02615461461822182,0.012163910938768188,0.05942619803121719,DESeq2-apeglm,GSE152004,asthma
IDI2-AS1,0.0015105473471607085,0.03273182867956276,0.8929743151000435,0.9437997873823126,DESeq2-apeglm,GSE152004,asthma
IFNG,-0.6644812905605133,0.1357108318313104,5.051087229994485e-11,5.444491410675562e-7,DESeq2-apeglm,GSE152004,asthma
IL13,0.0039343259481643324,0.034546368709231265,0.5244171597885485,0.6970121148996099,DESeq2-apeglm,GSE152004,asthma
IL4,5.122066860238e-4,0.03452259090265132,0.9037574334313141,0.9494045677175589,DESeq2-apeglm,GSE152004,asthma
IL5,0.4241730459447917,0.2322807976969288,0.0013936694193748206,0.014087987402110655,DESeq2-apeglm,GSE152004,asthma
IL6,-0.6498093140313943,0.18463375860316192,0.5076029058681677,0.6831489108142424,DESeq2-apeglm,GSE152004,asthma
MIR22HG,-0.019008536529433396,0.026923748939576376,0.34153838793679153,0.535942986477486,DESeq2-apeglm,GSE152004,asthma
OIP5-AS1,0.010500959969206015,0.013200506384125654,0.38878575430477263,0.5788446357195839,DESeq2-apeglm,GSE152004,asthma
TNF,-0.35922969741429733,0.10600583267962052,2.9060181731082036e-5,0.0013653001744202906,DESeq2-apeglm,GSE152004,asthma
