dataset,disease,n,n_eos_markers,n_th2_markers,raw_rho,raw_p,adj_rho,adj_p,data_type
GSE152004,asthma,695,7,6,0.10923860502766232,0.003935447221265462,0.05196120913110967,0.1718363428594278,vst
GSE121212,atopic_dermatitis,65,7,6,0.06022502814195959,0.6336744522158837,0.009563555088041721,0.9407000858698469,vst
GSE58640,eosinophilic_esophagitis,16,7,6,0.4892273145002004,0.05444935123143327,0.42465493889995987,0.1301568451716448,log2_FPKM_plus1
GSE136825,nasal_polyps,70,7,6,0.08515493308946175,0.4833631417155152,0.1354307237810134,0.27082361314969733,vst
